video_id,video_length_sec,original_bitrate_kbps,target_resolution,transcoding_time_sec,vmaf_score
vid0058,9.317,10688.8,480,9.78,64.47
vid0058,9.317,10688.8,720,12.69,78.57
vid0058,9.317,10688.8,1080,15.86,100.0
vid0059,6.183,12462.9,144,1.8,10.01
vid0059,6.183,12462.9,240,4.04,24.64
vid0059,6.183,12462.9,288,4.49,36.05
vid0059,6.183,12462.9,360,4.94,47.46
vid0059,6.183,12462.9,480,7.05,61.34
vid0059,6.183,12462.9,720,9.58,77.46
vid0059,6.183,12462.9,1080,11.98,100.0
vid0060,8.75,11966.8,144,2.42,10.04
vid0060,8.75,11966.8,240,5.7,27.05
vid0060,8.75,11966.8,288,6.27,39.12
vid0060,8.75,11966.8,360,6.83,51.2
vid0060,8.75,11966.8,480,9.74,65.08
vid0060,8.75,11966.8,720,13.07,80.45
vid0060,8.75,11966.8,1080,16.34,100.0
vid0061,5.233,12073.8,144,1.55,10.02
vid0061,5.233,12073.8,240,3.45,28.82
vid0061,5.233,12073.8,288,3.76,40.73
vid0061,5.233,12073.8,360,4.07,52.64
vid0061,5.233,12073.8,480,5.8,66.29
vid0061,5.233,12073.8,720,7.53,80.93
vid0061,5.233,12073.8,1080,9.41,100.0
vid0062,8.35,10707.2,144,2.25,10.0
vid0062,8.35,10707.2,240,5.32,28.6
vid0062,8.35,10707.2,288,5.68,39.95
vid0062,8.35,10707.2,360,6.04,51.3
vid0062,8.35,10707.2,480,8.47,64.89
vid0062,8.35,10707.2,720,11.13,79.45
vid0062,8.35,10707.2,1080,13.91,100.0
vid0063,6.4,11899.2,144,1.82,10.0
vid0063,6.4,11899.2,240,4.16,26.49
vid0063,6.4,11899.2,288,4.5,37.55
vid0063,6.4,11899.2,360,4.84,48.61
vid0063,6.4,11899.2,480,6.94,62.77
vid0063,6.4,11899.2,720,8.97,77.89
vid0063,6.4,11899.2,1080,11.21,100.0
vid0064,9.05,11614.9,144,2.48,10.03
vid0064,9.05,11614.9,240,5.76,28.16
vid0064,9.05,11614.9,288,6.26,39.09
vid0064,9.05,11614.9,360,6.77,50.02
vid0064,9.05,11614.9,480,9.61,63.18
vid0064,9.05,11614.9,720,12.45,77.79
vid0064,9.05,11614.9,1080,15.56,100.0
vid0065,7.983,12997.8,144,2.23,10.04
vid0065,7.983,12997.8,240,5.16,28.34
vid0065,7.983,12997.8,288,5.63,39.29
vid0065,7.983,12997.8,360,6.11,50.24
vid0065,7.983,12997.8,480,8.73,63.08
vid0065,7.983,12997.8,720,11.56,77.59
vid0065,7.983,12997.8,1080,14.45,100.0
vid0066,6.467,12506.7,144,1.84,10.02
vid0066,6.467,12506.7,240,4.26,28.11
vid0066,6.467,12506.7,288,4.65,39.59
vid0066,6.467,12506.7,360,5.03,51.06
vid0066,6.467,12506.7,480,7.09,64.37
vid0066,6.467,12506.7,720,9.47,78.73
vid0066,6.467,12506.7,1080,11.84,100.0
vid0067,5.6,12204.9,144,1.58,10.02
vid0067,5.6,12204.9,240,3.58,30.08
vid0067,5.6,12204.9,288,3.91,41.92
vid0067,5.6,12204.9,360,4.24,53.76
vid0067,5.6,12204.9,480,5.95,67.13
vid0067,5.6,12204.9,720,7.65,81.75
vid0067,5.6,12204.9,1080,9.56,100.0
vid0068,7.9,11532.4,144,2.15,10.02
vid0068,7.9,11532.4,240,5.08,28.72
vid0068,7.9,11532.4,288,5.49,41.23
vid0068,7.9,11532.4,360,5.9,53.74
vid0068,7.9,11532.4,480,8.33,69.26
vid0068,7.9,11532.4,720,10.76,83.36
vid0068,7.9,11532.4,1080,13.45,100.0
vid0069,5.15,13150.5,144,1.52,10.0
vid0069,5.15,13150.5,240,3.46,26.01
vid0069,5.15,13150.5,288,3.75,38.56
vid0069,5.15,13150.5,360,4.05,51.12
vid0069,5.15,13150.5,480,5.84,66.21
vid0069,5.15,13150.5,720,7.84,81.27
